Drug Reaction,https://thomsonspecialistskincentre.com/wp-content/uploads/Skin-allergy-to-drug.jpg
Malaria,"https://img.etimg.com/thumb/width-420,height-315,imgsize-168612,resizemode-75,msid-65161699/magazines/panache/fever-back-pain-and-headaches-dont-ignore-malaria-symptoms-it-could-be-fatal/cold-fever-sick_gettyimages.jpg"
Allergy,https://pdxent.com/wp-content/uploads/2018/07/allergy-symptoms.jpg
Hypothyroidism,https://d1whtlypfis84e.cloudfront.net/guides/wp-content/uploads/2021/10/14035209/Hypothyroidism.png
Psoriasis,https://my.clevelandclinic.org/-/scassets/images/org/health/articles/6866-psoriasis
GERD,https://www.netmeds.com/images/cms/wysiwyg/blog/2021/04/1619171533_Gastro_big_450.jpg
Chronic cholestasis,https://images.medindia.net/patientinfo/950_400/symptoms-of-cholestatic-jaundice.jpg
hepatitis A,https://www.homage.com.my/wp-content/uploads/sites/2/2022/07/Hepatitis-C-V2-Homage.png
Osteoarthristis,https://i0.wp.com/images-prod.healthline.com/hlcmsresource/images/slideshow/Osteoarthritis/642x361_Osteoarthritis_Pictures-SLIDE_1.jpg?w=1155
(vertigo) Paroymsal  Positional Vertigo,https://entconsultant.uk/wp-content/uploads/2021/03/benign-paraoxysmal-positional-vertigo.jpg
Hypoglycemia,https://www.endocrine.org/-/media/endocrine/images/patient-engagement-webpage/condition-page-images/diabetes-and-glucose-metabolism/hypoglycemia_pe_1796x943.jpg
Acne,"https://i.mscwlns.co/mosaic-wellness/image/upload/f_auto,w_1000,c_limit/v1625644603/BW%20BLOG/pcos-pimples-and-acne-treatment.png"
Diabetes,https://www.verywellhealth.com/thmb/RrngdDlVYKaT18VTkZ81cPLzoIA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/diabetes-signs-and-symptoms-5104883_Final-2f62c1beeb864b4b891c5f0c6c1d9419.jpg
Impetigo,https://kidshealth.org/content/dam/kidshealth/en/illustrations/ImpetigoPR-A-enIL.jpg
Hypertension,https://post.healthline.com/wp-content/uploads/2020/04/high-blood-pressure-hypertension-symptoms_thumb-732x549.jpg
Peptic ulcer disease,https://www.shutterstock.com/image-vector/peptic-ulcer-stomach-disease-infographic-600w-1927913840.jpg
Dimorphic hemorrhoids(piles),https://hemorrhoid.ir/wp-content/uploads/2022/11/hemorrhoid-or-pille-photo.jpg
Common Cold,https://medlineplus.gov/images/CommonCold.jpg
Chicken pox,https://www.verywellhealth.com/thmb/kyLEjpist_ly44sbR6cLh3JfMes=/5300x3562/filters:no_upscale():max_bytes(150000):strip_icc()/herpesviridae-chickenpox-913456630-5bfd8dd246e0fb00264ba9d2.jpg
Cervical spondylosis,https://www.medicoverhospitals.in/images/diseases/spondylosis-overview.webp
Hyperthyroidism,https://medlineplus.gov/ency/images/ency/fullsize/17071.jpg
Urinary tract infection,https://d2jx2rerrg6sh3.cloudfront.net/image-handler/ts/20170808022216/ri/673/picture/2017/8/shutterstock_208926943.jpg
Varicose veins,https://post.healthline.com/wp-content/uploads/2020/08/Varicose_Veins_Outdoors-732x549-Thumbnail.jpg
AIDS,https://t3.ftcdn.net/jpg/01/37/63/42/240_F_137634274_faKJGgGqdndudnxmZrugyigrKeZxFuik.jpg
Paralysis (brain hemorrhage),https://3.imimg.com/data3/DR/NE/MY-7001242/paralysis-stroke-500x500.png
Typhoid,https://lh4.googleusercontent.com/YNBbHa3m-VyafB4X_oBoZ4EO7jIqrZEpVs57aJbAbHlMox9j4JNDgXcTnGdXXGisWUeEre3tAAJTQeiRvw7dlKgRZp2nboJqI21GgrR9NC4n5TO8FuQsFHafL9qQtscIA5pFO57Pcjb2gODlWw
Hepatitis B,https://vaibhavherbal.com/wp-content/uploads/2019/01/HEPATITIS-B-VAIBHAV-HERBALS-3.jpg
Fungal infection,https://iimtu.edu.in/blog/wp-content/uploads/2023/05/Fungal-infections2-1.jpg
Hepatitis C,https://img.freepik.com/free-vector/informative-symptoms-hepatitis-c_1308-130763.jpg?size=626&ext=jpg
Migraine,https://sahyadrihospital.com/wp-content/uploads/2022/08/How-To-Cure-Migraine.jpg
Bronchial Asthma,https://my.clevelandclinic.org/-/scassets/images/org/health/articles/6424-asthma
Alcoholic hepatitis,https://www.ailbsindia.com/images/alcoholic-liver-disease.png
Jaundice,https://www.maxlab.co.in/category/1667457285.jpg
Hepatitis E,https://cdn.vectorstock.com/i/1000x1000/87/07/causes-hepatitis-e-world-hepatitis-day-vector-26088707.webp
Dengue,https://lirp.cdn-website.com/69c0b277/dms3rep/multi/opt/Dengue+Fever+Symptoms-1920w.jpg
Hepatitis D,https://i.ytimg.com/vi/4IyoRobcogA/maxresdefault.jpg
Heart attack,https://max-website20-images.s3.ap-south-1.amazonaws.com/Sudden_Cardiac_Death_10_7179064dfe_aa219a9137.jpg
Pneumonia,https://www.kidshealth.org.nz/sites/kidshealth/files/images/Pneumonia%20cropped%20jpg.jpg
Arthritis,https://medlineplus.gov/ency/images/ency/fullsize/17105.jpg
Gastroenteritis,https://cdn.sanity.io/images/0b678gck/buoy-public-site/1c32cb1091bf5849749d66ce0f166b8ce131594e-1500x1500.jpg?w=1500&q=70&auto=format&dpr=1
Tuberculosis,https://www.lalpathlabs.com/blog/wp-content/uploads/2018/03/Tuberculosis-TB.jpg
